,v_ego,line_left,line_right,d_target,v_target,act_lon_ego,act_lat_ego,line_left_target,line_right_target,act_lon_target,act_lat_target
0.59,28.018245136208698,1.564755049208955,-1.312746344125821,66.05076426442164,21.91381392342557,c,fl,4.4495168128137905,1.572015419479015,c,fl
0.6,27.93559278717059,1.6458833879669807,-1.3889613984750477,65.87846105879204,21.850417764449105,c,fl,4.513245465333089,1.4784006788910604,c,fl
0.61,27.87330346810217,1.6885830833286186,-1.3275029837539347,65.8736507057356,21.833154835779368,c,fl,4.619137019287468,1.6030509522049141,c,fl
0.62,27.936623517879138,1.702141068154755,-1.3458084971076814,65.73032026648701,21.794928719491125,c,fl,4.629668958648834,1.581719393386397,c,fl
0.63,27.883001136313506,1.5908024851276645,-1.3799606674671228,65.69972567461133,21.81656484364082,c,fl,4.555781489323849,1.5850183367290611,c,fl
0.64,27.902229880977792,1.6415655769764077,-1.3540410389972866,65.75268816843803,21.83586460815595,c,fl,4.582696761458299,1.587090145484605,c,fl
0.65,27.89693311743614,1.605405283639903,-1.3722233677320426,65.69582279550185,21.83011349909904,c,fl,4.5450344632958695,1.567405811923924,c,fl
0.66,27.869956405861725,1.5477989869917577,-1.3491394861592971,65.85683576248964,21.84478494402541,c,fl,4.394770430524597,1.4978319573735417,c,fl
0.67,27.935232157684712,1.6505822173849443,-1.3469543844600094,65.77612018411543,21.805240550572282,c,fl,4.5336087178372235,1.5360721159922694,c,fl
0.68,27.859147310528652,1.6052270649347078,-1.3679599889133314,65.77151944133699,21.763304600635557,c,fl,4.52961001115136,1.5564229573033208,c,fl
0.6900000000000001,27.831763512603377,1.5915602827410564,-1.3855215531169747,65.79038301516283,21.79857149704847,c,fl,4.48317785091013,1.5060960150520994,c,fl
0.7000000000000001,27.89520881515045,1.546057282536607,-1.3267651349437943,65.65968088177569,21.718554634292367,c,fl,4.604436011919649,1.731613594439248,c,fl
0.71,27.838964150641644,1.5010476472903362,-1.325193383185966,65.68412539938954,21.70341908469735,c,fl,4.478055253831004,1.651814223354702,c,fl
0.72,27.852215684032856,1.6470197191225988,-1.359104712136125,65.64994681827831,21.64823047411501,c,fl,4.622916623881704,1.61679219262298,c,fl
0.73,27.975576502330096,1.5978698249095498,-1.351145132994364,65.53117582200905,21.709709678375095,c,fl,4.489288591021971,1.5402736331180569,c,fl
0.74,28.011676584059355,1.6811159149583998,-1.3669881771728543,65.47668662118156,21.68402436412526,c,fl,4.591898599981848,1.5437945078505932,c,fl
0.75,27.970599370400112,1.4919742518419457,-1.3242211126582581,65.57835542824884,21.745416573609038,c,fl,4.429309391302978,1.6131140268027748,c,fl
0.76,28.00272774117268,1.5643911965928425,-1.3136660401826188,65.5250701036547,21.86738630657574,c,fl,4.49546208492845,1.6174048481529886,c,fl
0.77,27.905722570084983,1.6375712013251262,-1.359423915617542,65.42008694839151,21.77579476610794,c,fl,4.576597414559947,1.579602297617278,c,fl
0.78,27.897277731282177,1.6982548128307888,-1.3476327485379667,65.36367917153338,21.782032825611015,c,fl,4.674816912351506,1.6289293509827512,c,fl
0.79,27.949287028487724,1.6371771911970978,-1.284791942766669,65.21880518695113,21.714588353226684,c,fl,4.63969517610221,1.7177260421384433,c,fl
0.8,27.96187421965585,1.6749419604607443,-1.3089108903888436,65.2504610485092,21.88433221743444,c,fl,4.679414313266372,1.695561462416784,c,fl
0.81,27.992095396559336,1.5901675296626498,-1.358056408562683,65.20682762023436,21.839267946614815,c,fl,4.535759255752543,1.5875353175272104,c,fl
0.8200000000000001,27.856328187752613,1.5850994304702406,-1.355646956444148,65.3645800952297,21.846221124885247,c,fl,4.6254670753728515,1.6847206884584631,c,fl
0.8300000000000001,27.824141302211135,1.5639897815274786,-1.2873695403417682,65.3647769555568,21.735812551537748,c,fl,4.500882720697161,1.649523398827914,c,fl
0.84,27.94227658944302,1.6173806285531562,-1.3529414323410829,65.28576239339311,21.737708924768405,c,fl,4.577831444567545,1.6075093836733059,c,fl
0.85,27.987852077395136,1.5580067376863085,-1.2487653930384648,65.21114616095421,21.818665418497936,c,fl,4.580691223563205,1.773919092838432,c,fl
0.86,28.15776871590751,1.5468725788302087,-1.3327971855547525,65.16759576566677,21.7960190659808,c,fl,4.546814589103505,1.6671448247185434,c,fl
0.87,28.139127394022086,1.5188313546008163,-1.3456098711624094,65.1552209044534,21.84437833088347,c,fl,4.5174170789941215,1.6529758532308954,c,fl
0.88,28.085471644869845,1.632340074572016,-1.3795831784016839,65.0110054049608,21.904000160381408,c,fl,4.612339265602608,1.6004160126289078,c,fl
0.89,28.01583751413483,1.6071838103092957,-1.4338646675936817,65.00282216155536,21.893216852045004,c,fl,4.65105210795382,1.6100036300508431,c,fl
0.9,28.008948102274818,1.6130783135183453,-1.4007486117695276,64.86861685531142,21.911070652878596,c,fl,4.592798755030171,1.578971829742298,c,fl
0.91,28.054649851913876,1.5486873359636162,-1.416240782335272,64.9315123693748,21.844939000103643,c,fl,4.335542505402893,1.3706143871040053,c,fl
0.92,28.10794446084444,1.6079568156158943,-1.3879081841991054,64.8228985754129,21.81422487286969,c,fl,4.46054666270551,1.46468166289051,c,fl
0.93,28.141648642006334,1.5855352275973285,-1.3571589766971976,64.80090069236356,21.727486781203545,c,fl,4.4418330832472765,1.4991388789527502,c,fl
0.9400000000000001,28.158432823758694,1.6115601706944271,-1.4252985582225743,64.65040078767746,21.787382486656185,c,fl,4.579569451756523,1.5427107228395214,c,fl
0.9500000000000001,28.078593699055546,1.5517477351325912,-1.3662652633103747,64.47970813147495,21.794886823799484,c,fl,4.570671252739822,1.6526582542968562,c,fl
0.96,28.14235036952835,1.5599509736914037,-1.354750083692779,64.32951721995575,21.816844694404928,c,fl,4.588552705649336,1.673851648265153,c,fl
0.97,28.07587050081453,1.6571119275329087,-1.440846243287946,64.19985221119623,21.843237543818045,c,fl,4.588980413211813,1.4910222423909578,c,fl
0.98,28.05833411176687,1.5421437703125715,-1.4264773563904283,64.36517235575765,21.879103920834233,c,fl,4.468539493402073,1.4999183666990732,c,fl
0.99,28.10164407605666,1.4500510918981926,-1.4835501775201723,64.3527365013192,21.85533072591558,c,fl,4.356772982915738,1.423171713497373,c,fl
1.0,28.131225975908375,1.480851633485036,-1.441902245292224,64.21994759111202,21.864939873943804,c,fl,4.426515946741794,1.5037620679645336,c,fl
1.01,28.03718645053643,1.4836505912291837,-1.3156394248459151,64.20000972450661,21.789075675996127,c,fl,4.605907335637824,1.8066173195627255,c,fl
1.02,27.982288372220633,1.5734483105178747,-1.3436690376801494,64.17012470308775,21.778628930436174,c,fl,4.679505398281192,1.762388050083168,c,fl
1.03,27.958142824562202,1.5762420818424605,-1.423992533572283,63.94666634700158,21.851191982825032,c,fl,4.609838319595427,1.6096037041806843,c,fl
1.04,28.004194819386537,1.4965054128683286,-1.3833333382427306,63.8339361353654,21.867575412923692,c,fl,4.558258595759895,1.678419844648836,c,fl
1.05,28.127052631790104,1.458186818629584,-1.4457299291381245,63.69591119953855,21.874300174014436,c,fl,4.436581172983459,1.53266442521575,c,fl
1.06,28.07960500324563,1.529098674776065,-1.3935143673484305,63.766348099180654,21.816972014238985,c,fl,4.57913900259981,1.6565259604753138,c,fl
1.07,28.025257454114204,1.5597611958581075,-1.3609561735649114,63.677240924477495,21.837829327432285,c,fl,4.612558689453181,1.6918413200301619,c,fl
1.08,28.00135447035665,1.6013897795920968,-1.4718859809981737,63.67520101625485,21.865741684738786,c,fl,4.70560627515,1.6323305145597296,c,fl
1.09,28.115421126596374,1.6083139973043814,-1.3675099027362811,63.70109557236437,21.856392114025173,c,fl,4.523312128472191,1.5474882284315286,c,fl
1.1,28.258633734762792,1.5834794655351554,-1.4987258085886577,63.542920004699894,21.876634374021698,c,fl,4.525723101425032,1.443517827301219,c,fl
1.11,28.120072865936972,1.6045702231616896,-1.3806864973224677,63.46918147064817,21.845268183895186,c,fl,4.59009412673275,1.6048374062485926,c,fl
1.12,28.046574495602474,1.5771340061502368,-1.3180722337274278,63.48698366145224,21.830607246365766,c,fl,4.517349694739443,1.6221434548617786,c,fl
1.1300000000000001,28.083563279152234,1.5565103147973185,-1.3032992096176934,63.25406933092146,21.83890403149085,c,fl,4.479799471803026,1.6199899473880142,c,fl
